"date","region","kata","market","market_id","latitude","longitude","category","commodity","commodity_id","unit","pricetype","currency","price","season"
"2006-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","61250","kiangazi kifupi"
"2006-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","65055.56","kiangazi kifupi"
"2006-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","68000","kiangazi kifupi"
"2006-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","79681.82","kiangazi kifupi"
"2006-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","80071.43","masika"
"2006-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","83416.67","masika"
"2006-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","89375","masika"
"2006-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","75312.5","masika"
"2006-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","92291.67","masika"
"2006-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","69520.83","masika"
"2006-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","85000","kiangazi kikuu"
"2006-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","56208.33","kiangazi kikuu"
"2006-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","69545.45","kiangazi kikuu"
"2006-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","54363.64","kiangazi kikuu"
"2006-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","64821.43","kiangazi kikuu"
"2006-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","57482.14","kiangazi kikuu"
"2006-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","64833.33","kiangazi kikuu"
"2006-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","60125","kiangazi kikuu"
"2006-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","67187.5","kiangazi kikuu"
"2006-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","62876.25","kiangazi kikuu"
"2006-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","67666.67","vuli"
"2006-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","61111.11","vuli"
"2006-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","67312.5","vuli"
"2006-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","64625","vuli"
"2007-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","70000","kiangazi kifupi"
"2007-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","67500","kiangazi kifupi"
"2007-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","58900","kiangazi kifupi"
"2007-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","60200","kiangazi kifupi"
"2007-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","65800","masika"
"2007-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","61200","masika"
"2007-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","64500","masika"
"2007-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","60900","masika"
"2007-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","58400","masika"
"2007-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","57900","masika"
"2007-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","57800","kiangazi kikuu"
"2007-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","59000","kiangazi kikuu"
"2007-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","54500","kiangazi kikuu"
"2007-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","59700","kiangazi kikuu"
"2007-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","53500","kiangazi kikuu"
"2007-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","55800","kiangazi kikuu"
